date,table,item,quantity,price,waiter,order_id
2026-08-15 12:45,table2,SIRLOIN 350g,1,269,Thabo,SAMPLE-1
2026-08-15 12:45,table2,CASTLE LAGER,2,45,Thabo,SAMPLE-1
2026-08-15 13:10,table5,RIBEYE 380g,1,369,Amanda,SAMPLE-2
2026-08-15 13:10,table5,CREAMED SPINACH,1,65,Amanda,SAMPLE-2
2026-08-15 13:10,table5,NEDERBURG,1,195,Amanda,SAMPLE-2
2026-08-15 19:20,table8,T-BONE 700g,1,429,Liam,SAMPLE-3
2026-08-15 19:20,table8,MOJITO,2,145,Liam,SAMPLE-3
2026-08-15 19:45,table11,PRAWN & CALAMARI,1,339,Zanele,SAMPLE-4
2026-08-15 19:45,table11,CHOCOLATE BROWNIE,1,115,Zanele,SAMPLE-4
2026-08-15 20:05,table3,WAGYU SIRLOIN 300g,1,699,Thabo,SAMPLE-5
2026-08-15 20:05,table3,HEINEKEN,2,60,Thabo,SAMPLE-5
