drink,description
CASTLE - South Africa,"A crisp South African lager brewed for easy drinking, with a clean malt taste and moderate bitterness."
CASTLE LITE - South Africa,"A lighter South African lager with a clean, refreshing taste and lower body than a standard lager."
STELLA ARTOIS - Belgium,"A Belgian lager known for a smooth malt base, gentle hop bitterness, and a dry finish."
HEINEKEN - Netherlands,"A Dutch lager with a balanced, mildly bitter taste and a clean, refreshing finish."
WINDHOEK - Namibia,"A Namibian lager with a clean, smooth profile and a crisp finish."
CARLING BLACK LABEL,A full-bodied South African lager with a stronger malt character and a bolder beer flavor.
CASTLE LAGER,A classic South African lager with a straightforward malty taste and crisp finish.
CASTLE LITE,"A lighter South African lager with a clean, refreshing taste and lower body than a standard lager."
CASTLE DOUBLE MALT,"A malt-forward South African beer with a richer, sweeter body and deeper caramel notes."
FLYING FISH LEMON,A flavored beer with a light lager base and bright lemon-citrus notes.
FLYING FISH DRY APPLE,"A fruity beer with crisp apple notes and a light, refreshing finish."
CORONA - Mexico,"A light Mexican lager with a mild hop character and a refreshing, easy-drinking profile."
AMSTEL - Netherlands,A smooth Dutch lager with balanced malt sweetness and gentle bitterness.
HEINEKEN SILVER - Netherlands,A lighter-style Heineken lager with a softer taste and crisp finish.
BUDWEISER - USA,"An American lager with a light body, mild malt sweetness, and a clean finish."
CORONA NON-ALCOHOLIC 0.0,"A non-alcoholic beer with a light, crisp taste and refreshing lager character."
HEINEKEN 0.0,"A non-alcoholic lager with mild malt flavor and a clean, refreshing finish."
SAVANNA LEMON - NON-ALCOHOLIC,"A non-alcoholic cider-style drink with bright lemon flavor and a fizzy, refreshing finish."
BRUTAL FRUIT LITCHI SECHE,"A fruity alcoholic cider with sweet litchi notes and a sparkling, crisp finish."
BERNINI BLUSH,"A sparkling flavored drink with light fruit sweetness and a soft, refreshing profile."
HUNTERS DRY,"A dry cider with crisp apple flavor and a clean, tart finish."
HUNTERS GOLD,"A sweeter cider with ripe apple flavor and a smooth, fruity finish."
SAVANNA DRY,"A dry apple cider with a crisp, tart, lightly sparkling taste."
SAVANNA LIGHT,A lighter cider with fresh apple flavor and a more delicate sweetness.
LOXTONIA CRISPY APPLE CIDER,A sparkling cider with fresh apple flavor and a crisp finish.
LOXTONIA STONE FRUIT CIDER,"A cider flavored with stone fruit notes, giving it a sweeter, juicier profile."
COKE,"A cola-flavored soft drink with caramel sweetness, citrus notes, and gentle fizz."
LEMONADE - Schweppes,A sweet lemon-flavored mixer with a bright citrus taste and sparkling finish.
DRY LEMON - Schweppes,"A lightly sweetened lemon soda with a drier, sharper citrus profile."
TONIC WATER - Schweppes,"A carbonated mixer with quinine bitterness and a clean, slightly citrusy taste."
TONIC WATER - Schweppes Sugar Free,
GINGER ALE - Schweppes,"A ginger-flavored soft drink with mild spice, sweetness, and carbonation."
PINK TONIC - Schweppes,A fruity tonic with soft berry and citrus notes layered over quinine bitterness.
GRAPEFRUIT TONIC - Schweppes,A citrus tonic with tart grapefruit flavor and a bitter-fresh finish.
TOMATO COCKTAIL,"A savory tomato juice drink with a lightly seasoned, tangy flavor."
RED BULL,A sweet energy drink with a bold citrus-berry style flavor and a fizzy kick.
RED BULL - Sugar Free,"A sugar-free energy drink with the same bright, sharp energy-drink flavor."
RED BULL - Red Edition,A berry-flavored energy drink with a sweeter fruit profile and sparkling finish.
MOT CHANDON BRUT,"A Champagne-style sparkling wine from the Champagne region of France, made for bright bubbles, crisp citrus, and toasty notes."
MOT CHANDON NECTAR,"A sweeter Champagne from France with ripe fruit, soft richness, and lively bubbles."
