source_page,item,description,pairing,reasoning
page2,Grilled Baby Calamari,Tender pan-fried calamari with lemon garlic sauce.,Sauvignon Blanc,"Grilled Baby Calamari is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page2,Chicken Trinchado,Chicken breast strips in a spicy trinchado sauce.,Shiraz,"Chicken Trinchado has smoke, spice, or richness, so a fuller red keeps pace without getting lost."
page2,Greek Salad,"Heirloom tomatoes, olives, cucumber and feta with Greek dressing.",Chenin Blanc,"Greek Salad leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page2,Sirloin Steak,Trimmed prime sirloin strip with BBQ or salt and pepper crust.,Cabernet Sauvignon,"Sirloin Steak is richer and more savoury, so a structured red can stand up to the weight of the dish."
page2,Queen Prawns,Six grilled queen prawns with lemon butter peri-peri.,Sauvignon Blanc,"Queen Prawns is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page2,Filleted Chicken Breasts,"Tender grilled chicken breasts with BBQ, peri-peri or mushroom sauce.",Cabernet Sauvignon,"Filleted Chicken Breasts is richer and more savoury, so a structured red can stand up to the weight of the dish."
page2,Creamy Basil Pesto & Mushroom Pasta,Grilled mushrooms in creamy pesto with fettuccine.,Chenin Blanc,"Creamy Basil Pesto & Mushroom Pasta leans lighter or creamy, so a versatile white keeps the balance bright and easy."
page2,Malva Pudding Served with Vanilla Ice Cream,Cape-style malva pudding with vanilla ice cream.,Moscato,"Malva Pudding Served with Vanilla Ice Cream is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page2,Ice Cream with Chocolate Sauce,Ice cream with chocolate sauce.,Moscato,"Ice Cream with Chocolate Sauce is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
page2,Chocolate Brownie,Warm chocolate brownie with nuts and ice cream.,Moscato,"Chocolate Brownie is sweet and indulgent, so a softer sweet wine keeps the finish pleasant."
