index,category,item,description,wine_pairing,beer_pairing,cocktail_pairing,reasoning
1,Chef Set Starter,Grilled Baby Calamari,Tender pan-fried calamari tubes with lemon garlic sauce.,Sauvignon Blanc,Pilsner,Gin and Tonic,"The lemon garlic sauce needs freshness, so a bright white keeps the calamari light and clean while a pilsner or gin and tonic keeps the finish crisp."
2,Chef Set Starter,Chicken Trinchado,"Tender chicken breast strips cooked in a spicy trinchado sauce with chilli, garlic and Portuguese spices.",Chenin Blanc,Lager,Margarita,"The chilli and garlic need something fresh and cooling, so Chenin Blanc softens the spice, lager keeps it easy, and a Margarita adds sharp citrus lift."
3,Chef Set Starter,Greek Salad,"Heirloom tomatoes, red onion, cucumber, olives and feta with Greek dressing.",Sauvignon Blanc,Light Lager,Aperol Spritz,"The salty feta and crisp vegetables call for a zesty pairing, so the drink should stay bright and refreshing rather than heavy."
4,Chef Set Main,Sirloin Steak,Trimmed prime sirloin strip with salt and pepper crust or Trumps in-house BBQ basting.,Merlot,Amber Lager,Old Fashioned,"Sirloin has a leaner but still robust beef profile, so a smooth red or fuller beer gives it enough support without masking the meat."
5,Chef Set Main,Queen Prawns,Six grilled queen prawns with Trumps seasoning and lemon butter peri-peri sauce.,Sauvignon Blanc,Pilsner,Gin and Tonic,"Prawns are naturally sweet and delicate, so a crisp, high-acid pairing keeps the seafood bright and lets the sauce stay lively."
6,Chef Set Main,Filleted Chicken Breasts,"Succulent grilled chicken breasts served with BBQ, peri-peri or mushroom sauce.",Chardonnay,Lager,Gin and Tonic,"Chicken is versatile, so the best pairing is something balanced enough to follow the sauce without overpowering the meat."
7,Chef Set Main,Creamy Basil Pesto & Mushroom Pasta,Grilled mushrooms in a creamy pesto sauce with fettuccine.,Chardonnay,Pilsner,Gin and Tonic,"The creamy pesto needs freshness and a little roundness, so the pairing should lighten the dish instead of making it feel heavier."
8,Chef Set Dessert,Malva Pudding Served with Vanilla Ice Cream,Cape-style malva pudding served warm with vanilla ice cream.,Moscato,Stout,Espresso Martini,"This dessert is rich and sweet, so the pairing should either match the softness of the pudding or add a darker roasted contrast."
9,Chef Set Dessert,Ice Cream with Chocolate Sauce,Ice cream finished with chocolate sauce.,Moscato,Stout,Espresso Martini,The pairing works best when it either mirrors the sweetness or brings enough richness to stand next to the chocolate.
10,Chef Set Dessert,Chocolate Brownie,Warm chocolate brownie with nuts served with ice cream.,Port,Stout,Baileys Espresso Martini,"Chocolate brownie needs a deep, indulgent finish, so richer dessert-style drinks work better than anything too light."
11,Premium Set Starter,Chicken Trinchado,"Tender chicken breast strips in spicy trinchado sauce with chilli, garlic and Portuguese spices.",Chenin Blanc,Lager,Margarita,"The spice needs freshness and lift, so the drink should cool the palate rather than adding more weight."
12,Premium Set Starter,Springbok Carpaccio,"Tender springbok fillet finely sliced and topped with rocket, parmesan and capers.",Pinot Noir,Crisp Lager,Gin and Tonic,"Springbok is lean and elegant, so a lighter red or crisp drink keeps the dish refined instead of overpowering the game notes."
13,Premium Set Starter,Caprese & Avo Salad,"Bocconcini, sliced tomatoes, basil leaves, caper berries and cos lettuce with balsamic reduction.",Sauvignon Blanc,Light Lager,Aperol Spritz,"Tomato, basil and balsamic work best with a pairing that stays bright and aromatic and keeps the salad feeling fresh."
14,Premium Set Starter,Sashimi,Fresh Norwegian salmon sliced and topped with spring onion and sesame seeds.,Sauvignon Blanc,Pilsner,Gin and Tonic,"A clean, delicate dish like sashimi needs a pairing with precision and freshness so the fish stays the focus."
15,Premium Set Main,T-Bone or Ribeye Steak,Prime T-bone or ribeye steak with salt and pepper crust or Trumps BBQ basting.,Cabernet Sauvignon,Strong Lager,Negroni,"This is a richer steak choice, so it needs a drink with enough structure and confidence to stand up to the marbling and grill flavour."
16,Premium Set Main,Filleted Kingklip,Fresh line-caught kingklip grilled and served with tartar and peri-peri sauce.,Sauvignon Blanc,Light Lager,Gin and Tonic,"Kingklip is delicate, so the pairing should stay clean and sharp and let the fish lead the dish."
17,Premium Set Main,Pork Ribs,Slow cooked pork loin ribs finished on the grill with BBQ or peri-peri basting.,Shiraz,Amber Lager,Bourbon Smash,"Pork ribs bring sweetness, smoke and richness, so they need a pairing with enough body and spice to keep up."
18,Premium Set Main,Ostrich Medallions,Tender ostrich fillet seasoned with salt and pepper crust or Trumps BBQ basting.,Pinot Noir,Crisp Lager,Gin and Tonic,"Ostrich is lean with a slightly sweet edge, so a lighter red or crisp drink keeps it elegant and balanced."
19,Premium Set Main,Filleted Chicken Breasts,"Succulent grilled chicken breasts with BBQ, peri-peri or mushroom sauce.",Chardonnay,Lager,Gin and Tonic,"The dish can go in different directions depending on sauce, so the safest pairing is one that stays balanced and adaptable."
20,Premium Set Main,Veg Dish of the Day,Seasonal vegetable dish served with a sauce of choice.,Sauvignon Blanc,Light Lager,Aperol Spritz,"Vegetable-led dishes generally work best with bright, uncomplicated pairings that keep the plate lively."
21,Start,Flash Pan Fried Chicken Livers,"Chicken livers sizzled with onions, peppers and peri-peri sauce, served with a cocktail roll.",Chenin Blanc,Lager,Margarita,"The livers are rich while the peri-peri brings heat, so the drink needs enough freshness to cut through both."
22,Start,Chicken Trinchado,Sliced chicken strips sizzled with onions and peppers in Trumps peri-peri sauce.,Chenin Blanc,Lager,Margarita,"This dish is spicy and savoury, so the best pairing is something that cools the palate and keeps the flavour sharp."
23,Start,Firecracker Chicken Wings 400g,Chicken wings glazed with sweet sticky BBQ or peri-peri.,Shiraz,Lager,Whiskey Sour,"Sticky wings need a pairing with enough punch to handle sweetness, spice and char without disappearing."
24,Start,Beef Biltong,Traditional in-house beef biltong.,Pinotage,Strong Lager,Old Fashioned,"Biltong is concentrated, salty and savoury, so it works best with a drink that has depth and personality."
25,Start,Boerewors & Chakalaka,Traditional South African beef sausage served with spicy chakalaka sauce and a cocktail roll.,Pinotage,Lager,Gin and Tonic,"The sausage is rich and the chakalaka brings spice, so the pairing should have enough body but still feel easy to drink."
26,Start,Springbok Carpaccio,"Springbok carpaccio served with rocket, parmesan and capers.",Pinot Noir,Crisp Lager,Gin and Tonic,"Because the meat is lean and delicate, a lighter, brighter pairing lets the game flavour stay elegant."
27,Start,Garlic Snails,Snails smothered in creamy garlic sauce and served with a cocktail roll.,Chardonnay,Pilsner,Gin and Tonic,The creamy garlic sauce needs a pairing with freshness and enough texture to stop the dish from becoming too heavy.
28,Start,Garlic Lemon Calamari,Tender calamari tubes pan-fried and served in a creamy garlic sauce.,Sauvignon Blanc,Pilsner,Gin and Tonic,"Lemon and seafood naturally want high acidity and a clean finish, so the drink should keep the dish light."
29,Start,Mussels,Freshly steamed mussels in classic white wine sauce with fresh herbs.,Chenin Blanc,Pilsner,Gin and Tonic,The white wine sauce and herbs call for a pairing with freshness and just enough texture to follow the broth.
30,Start,Queen Prawns 3s,Three grilled queen prawns served with peri-peri and lemon garlic sauce.,Sauvignon Blanc,Pilsner,Gin and Tonic,"Prawns shine with bright, crisp pairings because they lift the sweetness of the shellfish instead of masking it."
31,Start,Fried Halloumi Fingers,Fried halloumi served with sweet chilli sriracha sauce.,Sauvignon Blanc,Lager,Aperol Spritz,"Halloumi is salty and rich, so it needs something sharp and refreshing to stop the dish from feeling dense."
32,Start,Small Greek Salad,"Heirloom tomatoes, red onions, mixed peppers, cucumber, olives and feta with house Greek dressing.",Sauvignon Blanc,Light Lager,Aperol Spritz,"The freshness of the vegetables and saltiness of the feta need a crisp, lively drink rather than anything heavy."
33,Start,Tempura Chicken,Deep-fried chicken strips in panko breadcrumbs served with spicy mayo.,Chardonnay,Lager,Margarita,Crunchy fried chicken and spicy mayo need a drink that can cut through richness and keep the mouth feeling fresh.
34,Start,Tempura Prawn,Deep-fried prawns in panko breadcrumbs served with spicy mayo.,Sauvignon Blanc,Pilsner,Gin and Tonic,Tempura prawn needs acidity and lift so the batter stays crisp on the palate and the prawn still tastes delicate.
35,Start,Tempura Biltong,Deep-fried in-house biltong in panko breadcrumbs served with spicy mayo.,Pinotage,Strong Lager,Old Fashioned,"This is bold and savoury, so it needs an equally confident pairing that can handle the meat and the frying."
